100 1000
59	67	92	15	31	91	96	65	39	33	67	27	71	68	96	99	27	20	13	29
25	78	78	21	59	29	98	26	56	2	59	61	100	77	54	10	63	27	59	33
13	81	6	29	5	28	85	11	94	69	71	81	77	13	76	71	3	50	46	19
83	58	45	79	14	61	67	18	18	94	56	48	94	3	35	2	69	97	89	5
38	12	21	86	4	2	76	38	34	45	55	51	12	22	82	56	91	19	37	54
66	71	96	8	51	85	87	7	30	82	20	20	40	88	44	85	11	22	36	13
9	62	21	69	95	41	5	92	8	4	29	21	56	50	55	61	62	23	30	96
17	57	16	46	16	36	88	62	64	40	78	30	77	37	94	15	9	72	98	34
4	81	15	36	13	87	18	66	98	68	51	66	17	100	6	100	17	61	42	26
33	21	28	91	24	41	43	62	70	1	50	51	64	38	61	43	46	54	82	93
62	62	86	32	24	68	55	88	78	60	20	44	61	62	67	70	93	75	99	34
91	30	39	17	36	16	85	40	36	26	21	100	90	17	75	52	48	6	85	45
71	14	45	66	29	58	21	43	80	6	98	26	66	1	76	46	51	2	11	47
37	54	84	41	67	77	9	64	96	40	34	5	31	57	85	74	6	31	31	39
17	13	42	95	84	78	77	83	75	33	33	48	61	47	42	4	2	65	25	89
73	32	9	53	16	17	6	1	25	60	88	72	65	91	86	66	84	13	54	78
55	23	77	51	19	9	63	79	91	43	36	75	84	82	82	60	40	18	26	35
20	42	83	36	3	15	55	96	15	77	59	40	77	11	50	77	80	31	54	81
57	86	10	19	2	49	67	15	14	43	86	78	1	80	58	51	18	80	63	91
84	88	27	47	45	83	33	94	19	30	94	79	95	48	75	22	62	43	59	29
36	51	23	3	7	3	54	23	84	32	59	6	86	24	41	78	43	70	10	85
84	55	56	48	73	68	7	96	57	89	66	62	16	37	33	63	83	44	16	38
88	27	83	62	53	66	29	9	20	29	10	19	50	91	99	83	20	17	88	48
43	77	94	51	25	55	30	85	1	72	94	20	90	59	50	24	89	51	43	54
2	63	19	25	45	49	3	23	55	56	52	34	79	89	32	84	25	38	93	10
94	12	81	32	81	16	70	5	11	47	78	4	83	31	31	43	42	68	20	91
66	14	85	38	27	54	30	82	26	80	79	12	69	64	74	98	98	89	86	14
63	72	80	7	73	49	81	83	75	61	26	52	86	27	81	33	62	90	44	57
83	99	9	26	89	81	55	52	36	100	38	45	8	19	93	93	85	39	84	15
39	9	23	78	35	68	31	24	50	54	24	76	83	100	23	93	44	27	13	66
40	22	53	65	13	77	57	44	14	70	49	87	99	86	43	70	77	8	83	56
45	43	28	95	48	36	26	27	75	85	77	10	20	36	62	83	36	30	3	83
29	62	93	97	27	22	22	69	49	87	89	33	39	76	1	44	31	77	100	58
72	16	1	26	70	20	20	57	62	74	27	24	4	61	40	74	34	25	1	1
48	33	19	53	74	18	65	35	51	51	92	68	75	71	7	89	70	90	14	16
7	91	25	68	6	82	19	66	49	97	32	55	40	3	76	9	90	99	15	19
96	8	50	88	36	88	3	14	27	48	56	49	91	11	53	22	18	56	52	15
63	86	11	81	71	87	54	74	23	43	82	76	76	88	20	15	38	21	100	90
47	26	21	1	63	1	49	46	48	88	59	56	10	74	76	75	42	7	78	8
1	13	82	8	3	83	70	51	94	41	72	7	97	3	88	12	38	72	70	43
51	70	43	43	39	97	54	13	42	96	71	72	75	30	81	73	25	87	90	54
59	32	49	70	31	76	71	33	71	97	5	85	80	1	91	46	37	33	75	41
17	36	43	51	53	55	13	79	91	56	65	48	11	32	91	17	59	35	91	27
33	40	7	85	75	19	38	30	70	86	74	55	22	40	35	31	16	41	82	48
25	86	20	60	80	95	68	93	4	53	69	22	37	89	52	85	12	52	63	75
1	68	22	61	76	99	74	39	83	86	87	64	33	65	14	88	2	33	81	92
44	57	46	79	44	40	56	41	66	44	59	91	89	89	32	57	70	57	21	35
84	5	8	23	58	54	15	26	65	85	31	13	96	29	5	94	9	5	46	7
53	10	97	61	75	23	5	58	12	85	71	99	82	76	95	29	68	76	18	10
12	48	11	53	16	92	32	4	47	8	96	37	36	55	79	61	96	68	96	7
